Year,Indicators,Country,Subregion,Statistics
2012,"Employers, female (% of female employment) (modeled ILO estimate)",Austria,Western Europe,2.33999991416931
2012,"Employers, male (% of male employment) (modeled ILO estimate)",Austria,Western Europe,6.59999990463257
2012,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",Austria,Western Europe,70.31
2012,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",Austria,Western Europe,80.31
2012,"School enrollment, tertiary (% gross)",Austria,Western Europe,78.9389114379883
2012,"Self-employed, female (% of female employment) (modeled ILO estimate)",Austria,Western Europe,10.4700002670288
2012,"Self-employed, male (% of male employment) (modeled ILO estimate)",Austria,Western Europe,15.3400001525879
2012,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Austria,Western Europe,81.53038259564892
2012,"Unemployment with advanced education, female (% of female labor force with advanced education)",Austria,Western Europe,2.80999994277954
2012,"Unemployment with advanced education, male (% of male labor force with advanced education)",Austria,Western Europe,2.02999997138977
2012,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Austria,Western Europe,4.87
2012,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Austria,Western Europe,4.79
2012,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Austria,Western Europe,4.93
2013,"Employers, female (% of female employment) (modeled ILO estimate)",Austria,Western Europe,2.26999998092651
2013,"Employers, male (% of male employment) (modeled ILO estimate)",Austria,Western Europe,6.42000007629395
2013,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",Austria,Western Europe,70.83
2013,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",Austria,Western Europe,80.43
2013,"School enrollment, tertiary (% gross)",Austria,Western Europe,79.655403137207
2013,"Self-employed, female (% of female employment) (modeled ILO estimate)",Austria,Western Europe,10.539999961853
2013,"Self-employed, male (% of male employment) (modeled ILO estimate)",Austria,Western Europe,15.5200004577637
2013,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Austria,Western Europe,81.9327731092437
2013,"Unemployment with advanced education, female (% of female labor force with advanced education)",Austria,Western Europe,4.17999982833862
2013,"Unemployment with advanced education, male (% of male labor force with advanced education)",Austria,Western Europe,2.83999991416931
2013,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Austria,Western Europe,5.34
2013,"Unemployment, female (% of female labor force) (modeled ILO estimate)",Austria,Western Europe,5.29
2013,"Unemployment, male (% of male labor force) (modeled ILO estimate)",Austria,Western Europe,5.37
2014,"Employers, female (% of female employment) (modeled ILO estimate)",Austria,Western Europe,2.42000007629395
